LAST SEEN   TYPE      REASON                   OBJECT                                                                               MESSAGE
138m        Normal    Pulled                   pod/my-portal-rhaap-portal-6966ffdd9f-dzj6j                                          Container image "registry.redhat.io/ansible-automation-platform-26/ansible-dev-tools-rhel9:latest" already present on machine
138m        Normal    Started                  pod/my-portal-rhaap-portal-6966ffdd9f-dzj6j                                          Started container ansible-devtools-server
138m        Normal    Created                  pod/my-portal-rhaap-portal-6966ffdd9f-dzj6j                                          Created container: ansible-devtools-server
138m        Normal    Created                  pod/my-portal-rhaap-portal-6966ffdd9f-dzj6j                                          Created container: backstage-backend
138m        Normal    Started                  pod/my-portal-rhaap-portal-6966ffdd9f-dzj6j                                          Started container backstage-backend
31m         Normal    Killing                  pod/my-portal-postgresql-0                                                           Stopping container postgresql
31m         Normal    Killing                  pod/my-portal-rhaap-portal-6966ffdd9f-dzj6j                                          Stopping container backstage-backend
31m         Normal    Killing                  pod/my-portal-rhaap-portal-6966ffdd9f-dzj6j                                          Stopping container ansible-devtools-server
31m         Warning   Unhealthy                pod/my-portal-postgresql-0                                                           Readiness probe errored and resulted in unknown state: rpc error: code = Unknown desc = command error: cannot register an exec PID: container is stopping, stdout: , stderr: , exit code -1
30m         Normal    ScalingReplicaSet        deployment/my-portal-rhaap-portal                                                    Scaled up replica set my-portal-rhaap-portal-6966ffdd9f from 0 to 1
30m         Normal    WaitForPodScheduled      persistentvolumeclaim/my-portal-rhaap-portal-6966ffdd9f-ttmdl-dynamic-plugins-root   waiting for pod my-portal-rhaap-portal-6966ffdd9f-ttmdl to be scheduled
30m         Normal    SuccessfulCreate         replicaset/my-portal-rhaap-portal-6966ffdd9f                                         Created pod: my-portal-rhaap-portal-6966ffdd9f-ttmdl
30m         Normal    SuccessfulCreate         statefulset/my-portal-postgresql                                                     create Pod my-portal-postgresql-0 in StatefulSet my-portal-postgresql successful
30m         Normal    SuccessfulAttachVolume   pod/my-portal-postgresql-0                                                           AttachVolume.Attach succeeded for volume "pvc-e2a21924-cd86-4281-b2d6-2d87d70022e4"
30m         Normal    Provisioning             persistentvolumeclaim/my-portal-rhaap-portal-6966ffdd9f-ttmdl-dynamic-plugins-root   External provisioner is provisioning volume for claim "sagpaul-installer/my-portal-rhaap-portal-6966ffdd9f-ttmdl-dynamic-plugins-root"
30m         Normal    Pulled                   pod/my-portal-postgresql-0                                                           Container image "registry.redhat.io/rhel9/postgresql-15@sha256:8a00879923de4ed645006786a211c6fccc46b578db09edb58090a0a2bdca7a27" already present on machine
30m         Normal    Started                  pod/my-portal-postgresql-0                                                           Started container postgresql
30m         Normal    Created                  pod/my-portal-postgresql-0                                                           Created container: postgresql
30m         Normal    AddedInterface           pod/my-portal-postgresql-0                                                           Add eth0 [10.131.1.95/23] from ovn-kubernetes
30m         Normal    ExternalProvisioning     persistentvolumeclaim/my-portal-rhaap-portal-6966ffdd9f-ttmdl-dynamic-plugins-root   Waiting for a volume to be created either by the external provisioner 'ebs.csi.aws.com' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
30m         Normal    ProvisioningSucceeded    persistentvolumeclaim/my-portal-rhaap-portal-6966ffdd9f-ttmdl-dynamic-plugins-root   Successfully provisioned volume pvc-027e3c2c-fc07-43d8-b051-9850fe162b9d
30m         Normal    SuccessfulAttachVolume   pod/my-portal-rhaap-portal-6966ffdd9f-ttmdl                                          AttachVolume.Attach succeeded for volume "pvc-027e3c2c-fc07-43d8-b051-9850fe162b9d"
30m         Normal    Created                  pod/my-portal-rhaap-portal-6966ffdd9f-ttmdl                                          Created container: install-dynamic-plugins
30m         Normal    Started                  pod/my-portal-rhaap-portal-6966ffdd9f-ttmdl                                          Started container install-dynamic-plugins
30m         Normal    Pulled                   pod/my-portal-rhaap-portal-6966ffdd9f-ttmdl                                          Container image "registry.redhat.io/rhdh/rhdh-hub-rhel9:1.9" already present on machine
30m         Normal    AddedInterface           pod/my-portal-rhaap-portal-6966ffdd9f-ttmdl                                          Add eth0 [10.129.3.130/23] from ovn-kubernetes
27m         Normal    Pulled                   pod/my-portal-rhaap-portal-6966ffdd9f-ttmdl                                          Container image "registry.redhat.io/rhdh/rhdh-hub-rhel9:1.9" already present on machine
27m         Normal    Created                  pod/my-portal-rhaap-portal-6966ffdd9f-ttmdl                                          Created container: backstage-backend
27m         Normal    Started                  pod/my-portal-rhaap-portal-6966ffdd9f-ttmdl                                          Started container backstage-backend
27m         Normal    Pulled                   pod/my-portal-rhaap-portal-6966ffdd9f-ttmdl                                          Container image "registry.redhat.io/ansible-automation-platform-26/ansible-dev-tools-rhel9:latest" already present on machine
27m         Normal    Created                  pod/my-portal-rhaap-portal-6966ffdd9f-ttmdl                                          Created container: ansible-devtools-server
27m         Normal    Started                  pod/my-portal-rhaap-portal-6966ffdd9f-ttmdl                                          Started container ansible-devtools-server
